iteration,evaluation,sigma,axis ratio,bestever,best,median,worst objective function value,further objective values of best
1,65,986.9800257879521,1.000049763142906,-1009946.2379332443,-1.0099462379332443e+06,-1000000.0,-991498.5803790054
2,130,983.1242732206603,1.0123171474741022,-1009946.2379332443,-1.0079717991247535e+06,-1002509.2950761282,-1000333.6612128963
3,195,979.9272730163752,1.0143056359628528,-1009946.2379332443,-1.0094679626891192e+06,-1003726.9722695067,-1001036.820682769
4,260,977.6756509465196,1.0162624870065593,-1009946.2379332443,-1.0072982525934537e+06,-998108.8807546266,-987177.7143150226
5,325,975.7981873980476,1.0167526874929107,-1010944.5755207397,-1.0109445755207397e+06,-1004095.2024349223,-1001879.4700879452
6,390,974.3348002385486,1.0186821920985918,-1010944.5755207397,-1.0098909126373621e+06,-997543.2147419883,-983826.6398143037
7,455,973.0886745032844,1.02192534676278,-1012760.0676963355,-1.0127600676963355e+06,-1002473.2996751391,-994083.4504468745
8,520,971.5377333219183,1.0250183724286863,-1013836.2578180144,-1.0138362578180144e+06,-1007438.1932864162,-1002736.0265380706
9,585,970.5236448025306,1.0279187005725998,-1013836.2578180144,-1.0108069859381574e+06,-999984.6981496501,-996085.0850661781
10,650,970.0257467985532,1.031273294563165,-1017267.5454853077,-1.0172675454853077e+06,-1014873.1234767342,-1004193.9612708713
11,715,969.9234264722303,1.035058697938928,-1017656.7642929639,-1.0176567642929639e+06,-1013561.8929450235,-1006255.4513432191
12,780,969.9741764894181,1.0398079968473337,-1017656.7642929639,-1.0111705056588040e+06,-1005016.0015670024,-1001555.747475929
13,845,970.012676685015,1.0446143831689996,-1018598.4559464063,-1.0185984559464063e+06,-1016448.8043174848,-1009072.0225184499
14,910,970.3190546218142,1.0494003103544567,-1018598.4559464063,-1.0149015474510337e+06,-1008026.4272634925,-1003579.2640290761
15,975,970.5005875517029,1.05484625188468,-1019437.4311913203,-1.0194374311913203e+06,-1010880.0341154016,-998969.0058696672
16,1040,970.5843598605243,1.0607835262719585,-1019437.4311913203,-1.0175756761104034e+06,-1009077.6472232543,-1002018.905930637
17,1105,970.3618726914476,1.066480319390075,-1019437.4311913203,-1.0189285965271760e+06,-1012003.8181696081,-1001787.2426136375
18,1170,970.0005468219106,1.0723528875338986,-1019437.4311913203,-1.0186141209760068e+06,-1015870.115554744,-1005448.5100882959
19,1235,969.2776766219075,1.0779294347383086,-1019437.4311913203,-1.0175907945898391e+06,-1004274.6105651882,-996632.3892171646
20,1300,968.6640509269814,1.0838507157157111,-1019437.4311913203,-1.0190249590716078e+06,-1017777.4753634951,-1011447.0825859216
21,1365,967.9909543042681,1.0907554602374003,-1019437.4311913203,-1.0189372437458143e+06,-1013482.4318928086,-1008154.9363118408
22,1430,967.3934052044933,1.0967817963522675,-1019437.4311913203,-1.0193268688439438e+06,-1010674.405590776,-1003809.7096908807
23,1495,966.697273548136,1.1026910171789128,-1020104.4886576324,-1.0201044886576324e+06,-1014005.1447144519,-1003838.4226475736
24,1560,965.9641481617647,1.108352156855297,-1020977.1278148282,-1.0209771278148282e+06,-1013815.997518769,-1008106.8349288688
25,1625,965.1873458691796,1.1137804170579595,-1020977.1278148282,-1.0208307871526254e+06,-1016182.2167566096,-1004195.4244867099
26,1690,964.43724347131,1.1191485117436148,-1021129.8744882406,-1.0211298744882406e+06,-1014906.0305528725,-1008772.6449218497
27,1755,963.9006081977326,1.1243098217089,-1021129.8744882406,-1.0210518852957033e+06,-1005166.555685505,-998585.1995601653
28,1820,963.637442405805,1.1288627390670198,-1021396.5234874527,-1.0213965234874527e+06,-1015300.0785842242,-1006530.6452034937
29,1885,963.08312880868,1.1340238451224347,-1021396.5234874527,-1.0187020709014656e+06,-1016386.05301119,-1010300.68942217
30,1950,962.514382098054,1.1389633128212437,-1021396.5234874527,-1.0189889248717270e+06,-1013254.7424343398,-1006666.8104430293
31,2015,961.6548729818763,1.1441918801696565,-1021396.5234874527,-1.0181790635897802e+06,-1012230.3032782071,-996629.5698378622
32,2080,961.1345117739393,1.1492452144947753,-1021396.5234874527,-1.0191911271493642e+06,-1018324.1021797145,-1010299.5773343528
33,2145,960.6720359278353,1.1545149541320876,-1021396.5234874527,-1.0202996077255227e+06,-1018761.8415348554,-1014664.9740772534
34,2210,960.1812890457009,1.1599612644069404,-1021396.5234874527,-1.0205867562740693e+06,-1019384.1840986356,-1010526.9101380381
35,2275,959.9232984048368,1.1653313942989836,-1021396.5234874527,-1.0203449418731381e+06,-1019343.6515187576,-1015777.489434192
36,2340,959.8180454306329,1.171400713262096,-1021396.5234874527,-1.0211128054752290e+06,-1020097.7490478647,-1014770.1801573094
37,2405,959.8975457064281,1.1770556988510879,-1022225.5421930709,-1.0222255421930709e+06,-1020654.9486131093,-1013690.8150777697
38,2470,960.1972489163505,1.1830185152893773,-1023295.3642343568,-1.0232953642343568e+06,-1020498.262256819,-1009818.9974827275
39,2535,960.5023583603336,1.1886152390483569,-1023988.6782241364,-1.0239886782241364e+06,-1019537.442684035,-1011809.157879467
40,2600,960.6908625391155,1.1939093838680732,-1023988.6782241364,-1.0236578139231477e+06,-1006417.3375525108,-1002489.2414953088
41,2665,960.9934373110691,1.1996544929799133,-1024539.0154041301,-1.0245390154041301e+06,-1021807.8862580368,-1012894.1540734433
42,2730,960.9587458323159,1.2055879684715352,-1025441.9268135938,-1.0254419268135938e+06,-1023317.4467558798,-1010428.5300009751
43,2795,961.138674431605,1.2117056035397775,-1025441.9268135938,-1.0161783184126683e+06,-1008108.3545137356,-1003813.004631337
44,2860,961.2168329630733,1.2174974349987007,-1025441.9268135938,-1.0253261208298418e+06,-1021674.9865366984,-1016953.4005810869
45,2925,961.049100823331,1.2237661260602275,-1025441.9268135938,-1.0242777304419491e+06,-1009348.7949863531,-1002065.0526244948
46,2990,960.9615409159951,1.2294413025084767,-1025542.6107799124,-1.0255426107799124e+06,-1020535.0990107213,-1015545.9233489762
47,3055,960.9897464303542,1.235440409601794,-1025542.6107799124,-1.0186600474958322e+06,-1011095.4278215236,-1009025.5755444119
